player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Cordarrelle Patterson,7810,HB,CHI,16,0,6,56.9,31.6,6,37.5,19,55.7,0,19.5,16,82,59.8,3.8,2,12.5,53
Michael Deiter,38554,G,MIA,2,0,17,59.1,100.0,2,12.5,2,46.8,0,100.0,16,16,53.2,100.0,12,75.0,12
Austin Ekeler,12164,HB,LAC,10,0,27,60.0,4.5,2,13.3,44,58.3,0,11.5,15,131,60.4,13.2,9,60.0,68
Zach Gentry,36049,TE,PIT,2,0,25,49.2,100.0,5,33.3,5,50.8,0,100.0,15,15,60.3,100.0,5,33.3,5
Tajae Sharpe,10774,WR,MIN,4,0,18,59.9,100.0,2,13.3,2,60.9,0,100.0,15,15,61.0,100.0,10,66.7,10
Dalvin Cook,11796,HB,MIN,14,0,18,59.7,2.7,2,13.3,73,59.2,0,4.5,15,337,59.6,0.9,2,13.3,231
D'Ernest Johnson,45734,HB,CLV,12,0,8,,0.0,0,0.0,15,60.8,0,31.3,15,48,,0.0,0,0.0,17
Kalen Ballage,45741,HB,LAC,10,0,27,,0.0,0,0.0,39,43.2,0,13.8,15,109,59.9,5.7,3,20.0,53
Ted Larsen,5728,G,TB,1,0,30,57.4,100.0,8,53.3,8,56.8,0,100.0,15,15,57.9,100.0,3,20.0,3
Corey Clement,12253,HB,PHI,10,0,24,57.0,20.0,3,20.0,15,45.6,0,40.5,15,37,60.5,35.7,5,33.3,14
David Johnson,9519,HB,HST,12,0,13,58.0,12.3,7,50.0,57,54.3,0,8.5,14,164,59.1,4.8,5,35.7,105
Derrick Kelly II,46090,T,NO,5,0,20,68.9,100.0,10,71.4,10,61.1,1,100.0,14,14,57.5,100.0,3,21.4,3
Josiah Deguara,47034,TE,GB,2,0,12,57.3,100.0,4,28.6,4,57.1,0,100.0,14,14,63.9,100.0,7,50.0,7
Jason Moore,91472,WR,LAC,2,0,27,60.0,100.0,4,28.6,4,37.4,0,100.0,14,14,60.5,100.0,6,42.9,6
Marshall Newhouse,5692,T,TEN,4,0,31,48.8,100.0,4,28.6,4,57.8,1,100.0,14,14,68.8,100.0,5,35.7,5
Devonta Freeman,8738,HB,NYG,5,0,21,,0.0,0,0.0,40,61.1,0,20.0,14,70,60.2,27.3,6,42.9,22
Chase Daniel,5214,QB,DET,3,0,11,60.0,100.0,9,64.3,9,60.0,0,100.0,14,14,60.0,100.0,3,21.4,3
Ryan Nall,45753,HB,CHI,9,0,6,,,0,0.0,0,55.8,0,77.8,14,18,58.4,50.0,4,28.6,8
Salvon Ahmed,57472,HB,MIA,6,0,17,60.0,4.0,1,7.1,25,59.3,0,15.7,14,89,60.0,4.3,2,14.3,46
Nick Chubb,45783,HB,CLV,14,0,8,,0.0,0,0.0,99,59.8,0,5.8,14,241,,0.0,0,0.0,121
Justice Hill,45865,HB,BLT,9,0,3,47.2,50.0,11,78.6,22,44.4,0,53.8,14,26,,0.0,0,0.0,1
Lawrence Cager,34914,WR,NYJ,2,0,22,60.0,100.0,3,21.4,3,63.2,0,100.0,14,14,62.1,100.0,10,71.4,10
Tyler Davis,47743,TE,JAX,4,0,15,66.2,100.0,5,35.7,5,51.8,0,100.0,14,14,41.5,100.0,7,50.0,7
Yosh Nijman,60822,T,GB,4,0,12,57.5,100.0,4,28.6,4,59.2,0,100.0,14,14,59.7,100.0,2,14.3,2
Ricky Seals-Jones,12020,TE,KC,4,0,16,,,0,0.0,0,48.9,1,100.0,13,13,45.2,100.0,7,53.8,7
Joe Mixon,11803,HB,CIN,6,0,7,,0.0,0,0.0,45,59.0,0,9.6,13,135,60.0,1.3,1,7.7,78
Devontae Booker,10770,HB,LV,15,0,23,,0.0,0,0.0,35,46.7,0,12.3,13,106,60.0,3.3,2,15.4,60
Antonio Callaway,48101,WR,MIA,3,0,17,60.3,100.0,4,30.8,4,62.6,0,100.0,13,13,61.6,100.0,9,69.2,9
Duke Johnson Jr.,9510,HB,HST,11,0,13,58.0,22.2,6,46.2,27,69.6,0,13.4,13,97,60.0,7.5,5,38.5,67
Justin Jackson,29539,HB,LAC,9,0,27,60.0,5.9,1,7.7,17,69.7,0,18.1,13,72,60.1,11.4,5,38.5,44
Raheem Mostert,9783,HB,SF,8,0,28,60.0,9.4,3,25.0,32,54.1,0,9.9,12,121,59.3,2.5,2,16.7,81
Gehrig Dieter,12163,WR,KC,4,0,16,76.9,100.0,2,16.7,2,81.7,0,100.0,12,12,60.3,100.0,6,50.0,6
Jaylen Samuels,47297,HB,PIT,9,0,25,,0.0,0,0.0,6,77.2,0,57.1,12,21,60.7,100.0,6,50.0,6
Joe Reed,40221,WR,LAC,7,0,27,60.0,75.0,3,25.0,4,57.8,1,70.6,12,17,60.0,100.0,1,8.3,1
Minkah Fitzpatrick,51206,S,PIT,6,0,25,,,0,0.0,0,60.0,0,100.0,12,12,,,0,0.0,0
Sean Culkin,12037,TE,BLT,1,0,3,59.0,100.0,11,91.7,11,58.5,0,100.0,12,12,60.0,100.0,1,8.3,1
Hunter Bryant,61072,TE,DET,5,0,11,58.4,100.0,5,41.7,5,57.2,0,100.0,12,12,57.9,100.0,5,41.7,5
Kendall Hinton,34045,QB,DEN,1,0,10,60.0,100.0,3,25.0,3,60.0,0,92.3,12,13,60.0,87.5,7,58.3,8
Logan Woodside,46517,QB,TEN,5,0,31,60.0,100.0,3,25.0,3,60.0,0,63.2,12,19,60.0,100.0,9,75.0,9
Chris Moore,10741,WR,BLT,2,0,3,58.0,100.0,10,90.9,10,58.3,0,100.0,11,11,,,0,0.0,0
Matt Breida,12271,HB,MIA,10,0,17,58.7,18.5,5,45.5,27,58.2,0,15.3,11,72,60.0,5.3,2,18.2,38
Jake Kumerow,9883,WR,NO,5,0,20,,,0,0.0,0,60.6,0,100.0,11,11,60.0,100.0,2,18.2,2
Buddy Howell,12888,HB,HST,6,0,13,60.0,20.0,1,9.1,5,60.3,0,40.7,11,27,60.0,7.7,1,9.1,13
Jeremy Cox,46004,FB,DEN,4,0,10,49.6,100.0,6,54.5,6,55.1,0,100.0,11,11,68.8,100.0,4,36.4,4
James Proche II,48037,WR,BLT,4,0,3,60.5,100.0,4,36.4,4,60.0,0,100.0,11,11,60.2,100.0,4,36.4,4
Matt Sokol,47123,TE,LAC,1,0,27,57.8,100.0,2,18.2,2,59.3,0,100.0,11,11,61.7,100.0,6,54.5,6
Nyheim Hines,48103,HB,IND,16,0,14,59.0,8.3,3,27.3,36,42.8,0,10.2,11,108,,0.0,0,0.0,55
Todd Gurley II,9443,HB,ATL,15,0,2,,0.0,0,0.0,97,60.0,0,5.3,11,207,60.0,2.2,2,18.2,93
Patrick Laird,28219,HB,MIA,10,0,17,59.0,50.0,3,27.3,6,69.8,0,45.8,11,24,72.9,53.8,7,63.6,13
Alfred Morris,7165,HB,NYG,9,0,21,60.0,2.3,1,10.0,43,61.0,0,15.2,10,66,60.0,21.4,3,30.0,14
Jerick McKinnon,8731,HB,SF,12,0,28,,0.0,0,0.0,29,59.5,0,10.2,10,98,,0.0,0,0.0,53
Nsimba Webster,48107,WR,LA,6,0,26,,,0,0.0,0,60.0,0,100.0,10,10,,,0,0.0,0
Taywan Taylor,11827,WR,CLV,3,0,8,58.9,100.0,2,20.0,2,59.2,0,100.0,10,10,60.2,100.0,7,70.0,7
Courtland Sutton,48164,WR,DEN,1,0,10,,,0,0.0,0,60.0,0,100.0,10,10,60.4,100.0,8,80.0,8
Royce Freeman,45747,HB,DEN,12,0,10,,0.0,0,0.0,15,60.0,0,22.2,10,45,60.0,20.8,5,50.0,24
James Robinson,22425,HB,JAX,14,0,15,60.0,1.0,1,10.0,96,58.9,0,3.8,10,261,60.0,1.4,2,20.0,148
Carlos Hyde,8692,HB,SEA,11,0,29,59.6,6.5,2,20.0,31,59.6,0,10.3,10,97,59.8,6.9,4,40.0,58
Johnny Stanton,46441,FB,CLV,1,0,8,51.1,100.0,9,90.0,9,51.3,0,100.0,10,10,,,0,0.0,0
Brian Hill,11911,HB,ATL,16,0,2,60.0,3.1,1,10.0,32,59.9,0,8.8,10,113,,0.0,0,0.0,66
JaMycal Hasty,25582,HB,SF,6,0,28,,0.0,0,0.0,8,60.0,0,18.4,9,49,,0.0,0,0.0,32
Jake Rodgers,9658,T,BLT,1,0,3,50.7,100.0,3,33.3,3,43.8,0,100.0,9,9,51.9,100.0,4,44.4,4
Kerryon Johnson,34455,HB,DET,11,0,11,60.0,5.6,1,11.1,18,58.8,0,14.5,9,62,60.0,2.9,1,11.1,35
Jordan Matthews,8677,WR,SF,1,0,28,67.6,100.0,5,55.6,5,80.3,0,100.0,9,9,54.0,100.0,4,44.4,4
Evan Brown,38709,C,DET,2,0,11,57.5,100.0,8,88.9,8,40.8,0,100.0,9,9,,,0,0.0,0
Robert Foster,48230,WR,WAS,4,0,32,60.0,100.0,2,22.2,2,59.7,0,100.0,9,9,59.6,100.0,7,77.8,7
Geno Smith,7820,QB,SEA,1,0,29,60.0,100.0,2,22.2,2,60.0,0,75.0,9,12,60.0,71.4,5,55.6,7
T.J. Yeldon,9469,HB,BUF,5,0,4,60.0,20.0,1,11.1,5,59.1,0,37.5,9,24,60.0,11.1,1,11.1,9
Terry Godwin II,47946,WR,JAX,1,0,15,60.3,100.0,4,44.4,4,61.5,0,90.0,9,10,60.3,100.0,3,33.3,3
Alexander Mattison,45817,HB,MIN,13,0,18,,0.0,0,0.0,22,60.0,0,8.2,9,110,,0.0,0,0.0,72
LeSean McCoy,4976,HB,TB,7,0,30,,0.0,0,0.0,4,60.0,0,47.4,9,19,,0.0,0,0.0,4
