player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
David Andrews,9948,C,NE,19,0,19,71.1,100.0,296,53.9,296,69.2,3,100.0,549,549,54.5,100.0,174,31.7,174
Joe Thuney,10712,G,NE,19,0,19,71.9,100.0,296,53.9,296,63.9,1,100.0,549,549,50.8,100.0,176,32.1,176
Nate Solder,6169,T,NE,18,0,19,75.3,100.0,278,54.1,278,78.0,2,100.0,514,514,68.6,100.0,162,31.5,162
Marcus Cannon,6290,T,NE,18,0,19,91.4,100.0,278,54.2,278,90.0,1,100.0,513,513,75.3,100.0,160,31.2,160
Greg Mancz,10019,C,HST,18,0,13,66.7,100.0,168,32.8,168,70.2,2,100.0,512,512,68.4,100.0,275,53.7,275
Doug Free,3738,T,DAL,17,0,9,63.1,100.0,194,38.0,194,68.0,3,100.0,510,510,65.7,100.0,267,52.4,267
Zack Martin,8651,G,DAL,17,0,9,75.1,100.0,194,38.0,194,84.7,1,100.0,510,510,82.2,100.0,267,52.4,267
Travis Frederick,7812,C,DAL,17,0,9,73.5,100.0,194,38.0,194,86.2,3,100.0,510,510,86.6,100.0,267,52.4,267
David DeCastro,7640,G,PIT,19,0,25,87.9,100.0,282,55.7,282,83.3,5,100.0,506,506,70.1,100.0,145,28.7,145
Alejandro Villanueva,9091,T,PIT,19,2,25,68.6,100.0,282,55.7,282,70.4,4,100.0,506,506,67.8,100.0,145,28.7,145
Shaq Mason,9564,G,NE,19,0,19,87.2,100.0,274,54.3,274,82.2,3,100.0,505,505,71.5,100.0,159,31.5,159
Chris Clark,4623,T,HST,18,0,13,58.4,100.0,167,33.5,167,63.1,3,100.0,498,498,65.5,100.0,262,52.6,262
Chris Chester,3001,G,ATL,19,0,2,65.3,100.0,100,20.3,100,71.7,1,100.0,492,492,66.4,100.0,347,70.5,347
DeAndre Hopkins,7808,WR,HST,18,0,13,62.2,100.0,163,33.1,163,76.6,1,100.0,492,492,76.0,100.0,262,53.3,262
Jason Witten,1384,TE,DAL,17,0,9,63.2,100.0,190,38.6,190,63.9,1,100.0,492,492,61.0,100.0,257,52.2,257
Ryan Schraeder,8496,T,ATL,19,0,2,70.9,100.0,98,20.0,98,88.9,2,100.0,490,490,91.8,100.0,347,70.8,347
Andy Levitre,4974,G,ATL,19,0,2,80.5,100.0,98,20.3,98,81.6,1,100.0,483,483,77.8,100.0,340,70.4,340
Alex Mack,4944,C,ATL,19,0,2,82.6,100.0,93,19.9,93,90.9,2,100.0,467,467,90.3,100.0,332,71.1,332
Xavier Su'a-Filo,8668,G,HST,18,0,13,56.3,100.0,156,33.5,156,66.1,1,100.0,466,466,70.1,100.0,251,53.9,251
Maurkice Pouncey,5543,C,PIT,18,0,25,62.1,100.0,259,55.8,259,74.8,1,100.0,464,464,75.2,100.0,135,29.1,135
Jake Matthews,8641,T,ATL,19,0,2,64.3,100.0,93,20.2,93,61.5,4,100.0,460,460,60.0,100.0,325,70.7,325
Dak Prescott,10769,QB,DAL,17,0,9,60.0,99.5,189,41.1,190,60.0,0,93.7,460,491,60.0,96.1,248,53.9,258
Jack Conklin,10642,T,TEN,16,0,31,68.6,100.0,236,51.4,236,74.0,0,100.0,459,459,73.0,100.0,190,41.4,190
Ben Jones,7099,C,TEN,16,0,31,66.8,100.0,234,51.1,234,70.4,2,100.0,458,458,72.3,100.0,191,41.7,191
Martellus Bennett,4375,TE,NE,19,1,19,58.9,100.0,248,54.4,248,60.5,3,99.6,456,458,60.9,100.0,147,32.2,147
Gabe Jackson,8716,G,OAK,17,0,23,68.1,100.0,233,51.4,233,69.3,4,100.0,453,453,62.7,100.0,162,35.8,162
Andrew Norwell,9126,G,CAR,16,0,5,72.1,100.0,263,58.2,263,72.5,0,100.0,452,452,63.4,100.0,116,25.7,116
Mike Remmers,7431,T,CAR,16,0,5,76.3,100.0,263,58.3,263,69.3,2,100.0,451,451,53.3,100.0,115,25.5,115
Rodney Hudson,6207,C,OAK,17,1,23,81.0,100.0,232,51.6,232,82.4,1,100.0,450,450,81.4,100.0,161,35.8,161
Matt Ryan,4317,QB,ATL,19,0,2,60.4,100.0,97,21.6,97,60.2,0,94.9,449,473,60.0,99.4,332,73.9,334
Trai Turner,8727,G,CAR,16,0,5,64.7,100.0,261,58.3,261,70.8,2,100.0,448,448,73.1,100.0,114,25.4,114
Richie Incognito,2298,G,BUF,16,0,4,71.1,100.0,244,54.6,244,71.8,2,100.0,447,447,69.3,100.0,160,35.8,160
John Miller,9514,G,BUF,16,0,4,62.6,100.0,244,54.6,244,66.9,1,100.0,447,447,79.2,100.0,160,35.8,160
Antonio Brown,5718,WR,PIT,18,0,25,69.7,100.0,248,55.6,248,68.7,0,99.3,446,449,64.8,100.0,135,30.3,135
Jesse James,9593,TE,PIT,19,0,25,74.7,100.0,250,56.6,250,73.7,3,100.0,442,442,58.0,100.0,121,27.4,121
Brock Osweiler,7059,QB,HST,17,0,13,60.0,100.0,157,35.6,157,60.2,0,96.3,441,458,60.3,100.0,246,55.8,246
Jordan Mills,7945,T,BUF,16,0,4,64.0,100.0,238,54.5,238,59.7,2,100.0,437,437,55.3,100.0,157,35.9,157
Ali Marpet,9494,G,TB,16,0,30,69.6,100.0,189,43.5,189,82.9,2,100.0,434,434,89.0,100.0,191,44.0,191
Donovan Smith,9467,T,TB,16,0,30,66.5,100.0,189,43.5,189,67.3,3,100.0,434,434,62.6,100.0,191,44.0,191
Donald Penn,3459,T,OAK,16,0,23,88.1,100.0,224,52.0,224,90.1,0,100.0,431,431,82.9,100.0,152,35.3,152
Jason Kelce,6343,C,PHI,16,0,24,63.3,100.0,178,41.4,178,79.1,5,100.0,430,430,71.6,100.0,204,47.4,204
Ramon Foster,5229,G,PIT,17,0,25,74.0,100.0,232,54.3,232,73.5,1,100.0,427,427,66.3,100.0,130,30.4,130
Kevin Zeitler,7032,G,CIN,16,0,7,76.0,100.0,196,45.9,196,78.2,1,100.0,427,427,76.7,100.0,205,48.0,205
Taylor Lewan,8646,T,TEN,16,0,31,86.4,100.0,217,50.8,217,87.5,2,100.0,427,427,76.3,100.0,181,42.4,181
Marcus Gilbert,6215,T,PIT,16,0,25,68.8,100.0,238,56.3,238,73.4,1,100.0,423,423,70.7,100.0,121,28.6,121
Kelechi Osemele,7062,G,OAK,16,0,23,78.7,100.0,214,50.6,214,80.4,2,100.0,423,423,74.5,100.0,153,36.2,153
Mark Glowinski,9567,G,SEA,18,0,29,67.4,100.0,85,20.1,85,66.3,1,100.0,422,422,63.0,100.0,295,69.9,295
Ben Roethlisberger,1732,QB,PIT,17,0,25,60.0,100.0,242,57.6,242,60.0,0,95.9,420,438,60.0,98.5,129,30.7,131
Weston Richburg,8678,C,NYG,17,1,21,73.4,100.0,247,58.9,247,71.1,2,100.0,419,419,65.1,100.0,128,30.5,128
Jermon Bushrod,3741,G,MIA,17,0,17,40.5,100.0,63,15.0,63,48.9,2,100.0,419,419,52.9,100.0,336,80.2,336
