player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
A.J. Cann,9500,G,JAX,18,0,15,55.2,100.0,215,38.3,215,56.7,3,100.0,562,562,56.3,100.0,311,55.3,311
Blake Bortles,8638,QB,JAX,19,0,15,60.0,99.6,226,41.2,227,60.0,0,93.2,549,589,60.0,94.5,310,56.5,328
Joe Berger,2424,G,MIN,18,0,18,55.9,100.0,187,34.5,187,68.4,1,100.0,542,542,70.6,100.0,296,54.6,296
Shaq Mason,9564,G,NE,19,0,19,71.6,100.0,270,51.8,270,82.3,1,100.0,521,521,83.3,100.0,185,35.5,185
Joe Thuney,10712,G,NE,19,0,19,70.7,100.0,269,51.8,269,68.8,2,100.0,519,519,70.5,100.0,184,35.5,184
Brandon Brooks,7078,G,PHI,19,0,24,73.2,100.0,229,44.2,229,79.1,1,100.0,518,518,75.6,100.0,232,44.8,232
Marcedes Lewis,2973,TE,JAX,19,0,15,71.6,100.0,208,40.2,208,75.9,0,100.0,517,517,72.5,100.0,282,54.5,282
Jason Kelce,6343,C,PHI,19,0,24,90.7,100.0,221,42.8,221,94.8,1,100.0,516,516,93.1,100.0,240,46.5,240
Nate Solder,6169,T,NE,19,1,19,84.8,100.0,263,51.9,263,73.5,4,100.0,507,507,57.7,100.0,178,35.1,178
Jermey Parnell,5426,T,JAX,16,1,15,60.2,100.0,199,39.3,199,65.7,3,100.0,506,506,66.6,100.0,276,54.5,276
Patrick Omameh,8277,G,JAX,16,0,15,56.3,100.0,200,39.5,200,59.2,0,100.0,506,506,64.0,100.0,272,53.8,272
Brandon Linder,8728,C,JAX,16,0,15,68.5,100.0,192,38.0,192,80.7,0,100.0,505,505,80.4,100.0,283,56.0,283
Cam Robinson,11789,T,JAX,18,1,15,51.5,100.0,198,39.6,198,48.4,2,100.0,500,500,51.1,100.0,274,54.8,274
Max Unger,4972,C,NO,18,0,20,59.1,100.0,221,44.6,221,56.8,0,100.0,496,496,56.7,100.0,194,39.1,194
Ryan Ramczyk,11787,T,NO,18,0,20,70.0,100.0,221,44.6,221,78.1,1,100.0,496,496,82.7,100.0,194,39.1,194
Riley Reiff,7029,T,MIN,17,0,18,60.6,100.0,167,33.8,167,57.8,1,100.0,494,494,57.4,100.0,274,55.5,274
Andrew Norwell,9126,G,CAR,17,0,5,70.9,100.0,253,51.7,253,65.1,0,100.0,489,489,57.4,100.0,146,29.9,146
Daryl Williams,9535,T,CAR,17,0,5,68.0,100.0,253,51.7,253,69.3,0,100.0,489,489,68.1,100.0,146,29.9,146
Matt Kalil,7010,T,CAR,17,0,5,52.9,100.0,253,51.8,253,53.3,2,100.0,488,488,49.6,100.0,145,29.7,145
Jake Matthews,8641,T,ATL,18,0,2,73.1,100.0,96,19.8,96,72.6,2,100.0,484,484,72.3,100.0,345,71.3,345
Alex Mack,4944,C,ATL,18,1,2,65.7,100.0,96,19.9,96,90.8,2,100.0,483,483,92.3,100.0,345,71.4,345
Pat Elflein,11825,C,MIN,16,0,18,61.1,100.0,163,33.9,163,64.3,0,100.0,481,481,58.4,100.0,269,55.9,269
Eric Wood,4951,C,BUF,17,0,4,60.1,100.0,186,38.8,186,67.2,2,100.0,480,480,70.6,100.0,246,51.3,246
Wes Schweitzer,10829,G,ATL,18,0,2,45.8,100.0,96,20.0,96,63.6,3,100.0,480,480,68.1,100.0,341,71.0,341
Tom Brady,698,QB,NE,19,0,19,60.0,100.0,263,54.9,263,60.0,0,95.2,479,503,60.0,100.0,179,37.4,179
Adam Thielen,8288,WR,MIN,18,0,18,89.5,100.0,165,34.6,165,84.4,3,99.8,477,478,63.1,100.0,280,58.7,280
Ben Jones,7099,C,TEN,18,0,31,65.7,100.0,259,54.5,259,73.7,3,100.0,475,475,75.7,100.0,167,35.2,167
Josh Kline,8230,G,TEN,18,0,31,61.4,100.0,259,54.6,259,60.1,1,100.0,474,474,53.3,100.0,166,35.0,166
Case Keenum,7323,QB,MIN,17,0,18,60.5,100.0,169,35.7,169,60.3,0,95.6,473,495,60.2,99.6,272,57.5,273
Richie Incognito,2298,G,BUF,17,0,4,54.2,100.0,183,39.0,183,63.7,5,100.0,469,469,70.1,100.0,241,51.4,241
Jack Conklin,10642,T,TEN,18,0,31,70.5,100.0,254,54.4,254,69.0,2,100.0,467,467,62.1,100.0,164,35.1,164
Jamon Brown,9505,G,LA,17,0,26,61.1,100.0,143,30.7,143,64.5,0,100.0,466,466,64.3,100.0,273,58.6,273
Jordan Mills,7945,T,BUF,17,0,4,51.1,100.0,175,37.6,175,52.3,1,100.0,465,465,55.1,100.0,245,52.7,245
Matt Ryan,4317,QB,ATL,18,0,2,60.0,100.0,96,20.7,96,60.7,0,95.9,464,484,60.8,100.0,345,74.4,345
Lane Johnson,7786,T,PHI,18,0,24,79.3,100.0,208,45.0,208,81.3,2,100.0,462,462,77.0,100.0,205,44.4,205
James Hurst,9001,G,BLT,16,1,3,45.4,100.0,224,48.7,224,44.9,2,100.0,460,460,55.3,100.0,174,37.8,174
Ryan Jensen,7985,C,BLT,16,1,3,67.7,100.0,224,48.7,224,72.4,2,100.0,460,460,81.2,100.0,174,37.8,174
Drew Brees,802,QB,NO,18,0,20,60.0,100.0,221,48.1,221,60.0,0,93.7,459,490,60.0,99.5,191,41.6,192
Austin Howard,5847,T,BLT,16,0,3,60.0,100.0,224,48.8,224,62.2,1,100.0,459,459,67.1,100.0,173,37.7,173
Travis Frederick,7812,C,DAL,16,0,9,72.2,100.0,159,34.9,159,84.7,2,100.0,456,456,88.1,100.0,265,58.1,265
La'el Collins,9719,T,DAL,16,0,9,57.9,100.0,159,34.9,159,62.3,0,100.0,456,456,66.7,100.0,265,58.1,265
David Andrews,9948,C,NE,17,0,19,72.7,100.0,232,51.6,232,81.3,0,100.0,450,450,89.0,100.0,167,37.1,167
Taylor Lewan,8646,T,TEN,18,2,31,60.9,100.0,243,54.1,243,64.9,4,100.0,449,449,61.1,100.0,162,36.1,162
Jason Witten,1384,TE,DAL,16,0,9,67.7,100.0,157,35.4,157,61.8,1,100.0,444,444,64.8,100.0,257,57.9,257
Alejandro Villanueva,9091,T,PIT,17,0,25,65.2,100.0,210,47.5,210,67.2,2,100.0,442,442,61.9,100.0,172,38.9,172
Rob Havenstein,9490,T,LA,16,0,26,66.2,100.0,137,31.1,137,70.6,2,100.0,440,440,73.2,100.0,259,58.9,259
Zack Martin,8651,G,DAL,16,0,9,72.5,100.0,153,35.0,153,82.2,0,100.0,437,437,83.7,100.0,253,57.9,253
Kyle Rudolph,6195,TE,MIN,18,0,18,56.9,100.0,142,32.6,142,54.1,0,100.0,436,436,57.3,100.0,259,59.4,259
Breno Giacomini,4464,T,HST,16,1,13,44.8,100.0,119,27.5,119,50.0,1,100.0,433,433,54.3,100.0,276,63.7,276
Brandin Cooks,8655,WR,NE,19,0,19,65.4,100.0,239,55.3,239,55.4,1,97.7,432,442,58.5,100.0,152,35.2,152
Halapoulivaati Vaitai,10798,T,PHI,18,0,24,56.2,100.0,189,43.9,189,61.8,1,100.0,431,431,63.8,100.0,193,44.8,193
Matt Paradis,8841,C,DEN,16,0,10,70.3,100.0,199,46.3,199,68.9,1,100.0,430,430,62.9,100.0,185,43.0,185
Rodger Saffold,5558,G,LA,16,0,26,74.6,100.0,134,31.4,134,77.9,0,100.0,427,427,78.0,100.0,252,59.0,252
David DeCastro,7640,G,PIT,16,0,25,73.1,100.0,203,47.5,203,83.9,1,100.0,427,427,78.7,100.0,168,39.3,168
Xavier Su'a-Filo,8668,G,HST,16,0,13,54.0,100.0,119,27.9,119,51.2,2,100.0,427,427,52.5,100.0,270,63.2,270
Ronnie Stanley,10640,T,BLT,15,0,3,68.9,100.0,207,48.6,207,69.8,0,100.0,426,426,68.7,100.0,161,37.8,161
