player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Joe Thuney,10712,G,NE,19,0,19,66.1,100.0,325,53.6,325,70.4,3,100.0,606,606,68.9,100.0,179,29.5,179
Trent Brown,9677,T,NE,19,3,19,71.3,100.0,321,53.8,321,69.8,7,100.0,597,597,62.7,100.0,177,29.6,177
David Andrews,9948,C,NE,19,0,19,63.5,100.0,320,54.1,320,71.4,3,100.0,591,591,77.9,100.0,177,29.9,177
Tom Brady,698,QB,NE,19,0,19,60.1,100.0,318,57.1,318,60.1,0,95.9,557,581,60.1,100.0,174,31.2,174
Matt Skura,11102,C,BLT,17,0,3,60.5,100.0,320,57.6,320,58.0,1,100.0,556,556,59.5,100.0,161,29.0,161
Duane Brown,4340,T,SEA,17,0,29,72.2,100.0,160,29.3,160,74.5,1,100.0,546,546,70.9,100.0,342,62.6,342
Shaq Mason,9564,G,NE,17,1,19,79.8,100.0,295,54.3,295,82.9,2,100.0,543,543,82.4,100.0,160,29.5,160
Marshal Yanda,3702,G,BLT,17,0,3,65.9,100.0,315,58.9,315,77.7,1,100.0,535,535,87.9,100.0,147,27.5,147
Rob Havenstein,9490,T,LA,19,0,26,78.9,100.0,124,23.2,124,85.9,1,100.0,534,534,81.6,100.0,338,63.3,338
Austin Blythe,10882,G,LA,19,0,26,55.2,100.0,124,23.2,124,70.3,0,100.0,534,534,71.6,100.0,338,63.3,338
Ronnie Stanley,10640,T,BLT,16,0,3,62.8,100.0,307,58.4,307,65.2,1,100.0,526,526,62.7,100.0,148,28.1,148
Rodger Saffold,5558,G,LA,19,0,26,52.4,100.0,121,23.7,121,75.7,0,100.0,511,511,76.5,100.0,324,63.4,324
