player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Domenik Hixon,3075,WR,CAR,13,0,5,70.2,100.0,41,59.4,41,90.4,0,100.0,69,69,,,0,0.0,0
Joe Reitz,4789,G,IND,9,0,14,74.7,100.0,47,69.1,47,74.6,0,100.0,68,68,,,0,0.0,0
Greg Salas,6264,WR,NYJ,8,0,22,49.9,100.0,17,25.0,17,53.2,0,100.0,68,68,,,0,0.0,0
LaVon Brazill,7191,WR,IND,11,0,14,72.8,100.0,27,40.3,27,79.7,0,100.0,67,67,,,0,0.0,0
Dante Rosario,3771,TE,CHI,13,0,6,74.4,100.0,19,29.2,19,91.9,0,100.0,65,65,,,0,0.0,0
Gavin Escobar,7828,TE,DAL,13,0,9,89.7,100.0,14,21.5,14,61.5,0,100.0,65,65,,,0,0.0,0
Brice Butler,7991,WR,OAK,10,0,23,74.1,100.0,24,36.9,24,62.7,0,100.0,65,65,,,0,0.0,0
Chase Ford,7528,TE,MIN,9,0,18,66.9,100.0,14,21.5,14,65.8,0,100.0,65,65,,,0,0.0,0
Nate Byham,5705,TE,TB,4,0,30,69.5,100.0,22,34.9,22,60.1,0,100.0,63,63,,,0,0.0,0
Tim Lelito,8189,G,NO,5,0,20,53.6,100.0,17,27.4,17,52.8,0,100.0,62,62,,,0,0.0,0
Stedman Bailey,7873,WR,SL,8,0,26,70.5,100.0,35,56.5,35,67.1,0,96.9,62,64,,,0,0.0,0
Jerrel Jernigan,6235,WR,NYG,9,0,21,89.7,100.0,24,39.3,24,89.2,0,96.8,61,63,,,0,0.0,0
Frank Gore,2282,HB,SF,19,0,28,56.3,4.7,10,16.4,212,74.5,0,15.8,61,386,,,0,0.0,0
Chris Hogan,6468,WR,BUF,8,0,4,54.4,100.0,6,9.8,6,62.7,1,100.0,61,61,,,0,0.0,0
Jacques McClendon,5652,G,JAX,3,0,15,69.6,100.0,16,26.7,16,53.7,0,100.0,60,60,,,0,0.0,0
Nick Toon,7122,WR,NO,8,0,20,91.1,100.0,11,18.6,11,73.9,0,100.0,59,59,,,0,0.0,0
Alfred Morris,7165,HB,WAS,16,0,32,66.5,17.0,8,13.6,47,64.6,0,17.1,59,346,,,0,0.0,0
Chris Owusu,7276,WR,TB,9,0,30,59.5,100.0,11,18.6,11,46.0,0,100.0,59,59,,,0,0.0,0
Jeff Maehl,6706,WR,PHI,13,0,24,59.4,100.0,14,23.7,14,56.5,0,100.0,59,59,,,0,0.0,0
Tyler Clutts,6124,FB,DAL,8,0,9,72.1,100.0,6,10.2,6,74.5,0,100.0,59,59,,,0,0.0,0
Scott Tolzien,6749,QB,GB,3,0,12,60.0,100.0,5,8.9,5,60.0,0,100.0,56,56,,,0,0.0,0
LeSean McCoy,4976,HB,PHI,17,0,24,60.0,5.6,5,9.3,90,57.2,1,13.6,54,396,,,0,0.0,0
